DBT1,DBT99,WHITE,BLACK,ASIAN,MIXED,OTHER_RACE,SDESCENT,OVER65,LIVESALONE,LARGEHOUSE,POVERTY,UNEMPLOYED,HIGHSCHOOL,RENT,ELPAY,NGPAY,LPGPAY,FOPAY,APARTMENT,MOBILE,YEARMADERANGE,THERMALMASS.WALL,THERMALMASS.ROOF,ADQINSUL,DRAFTY,WWR,TYPEGLASS,COOLTYPE,EQUIPM,HVAC_OPERATION,HVAC_MAINTENANCE,NUMFANS,OFFGRID,TEMPMA
93.5,23.4,1,0,0,0,0,0,0,0,0,0,-1,1,0,1,0,0,0,0,0,1979,0.143,0.069,2,1,1.4285714285714286,1,1,1,0,0,4,0,0
91,16.5,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,0,0,1979,0.41,0.069,1,1,0.8571428571428571,2,1,1,1,0,2,0,0
86.1,7.9,1,0,0,0,0,0,0,0,0,1,-0.5,1,1,1,1,0,0,0,0,1989,0.013,0.013,2,0,0.8571428571428571,1,1,1,0,0,1,0,0
91.3,17.9,0,1,0,0,0,0,0,1,0,0,-1,0,0,1,1,0,0,1,0,1950,0.143,0.069,2,1,1.6666666666666667,1,1,1,1,0,2,0,0
88.7,3.7,1,0,0,0,0,0,1,1,0,0,-0,0,0,1,1,0,0,0,0,1959,0.143,0.069,2,1,1.2,1,1,1,0,0,2,0,0
96.8,18.9,0,0,0,0,1,1,0,0,0,1,-1,0,1,1,0,1,0,0,0,1989,0.013,0.069,1,2,7.5,1,0,0.5,0,0,1,0,0
87.8,6.3,1,0,0,0,0,0,1,1,0,1,-0,0,1,1,0,0,0,1,0,1969,0.143,0,2,0,0.25,2,1,1,0,0,1,0,0
97.4,31.6,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,1,2009,0.004,0.001,2,1,1.4285714285714286,2,1,1,0,0,6,0,0
108.3,41.6,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,0,0,1969,0.41,0.069,2,0,0.75,2,1,1,0,0,6,0,0
91.1,16.6,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,0,0,1959,0.004,0.069,2,0,1.5,2,1,1,1,0,2,1,0
81.8,13,0,0,1,0,0,0,0,0,0,0,-1,0,1,1,0,0,0,1,0,2009,0,0,3,0,3,1,0.5,1,0,0,0,0,1
91.3,17.9,0,1,0,0,0,0,0,0,0,1,-1,1,1,0,0,0,0,1,0,2015,0.143,0,1,2,2,1,0.5,1,0,0,1,0,0
98.1,32.8,0,0,0,0,1,0,0,0,0,1,-0.5,0,0,1,1,0,0,0,0,1959,0,0.069,1,1,2,2,0,0.5,1,0,2,0,0
88.3,9.5,1,0,0,0,0,0,0,1,0,0,-1,1,0,1,0,0,0,0,0,1999,0.004,0.069,2,0,1.5,1,1,1,0,0,2,1,0
82.3,39,1,0,0,0,0,1,0,0,0,0,-0,0,1,1,1,0,0,0,0,1959,0.013,0.069,2,0,2,2,0,1,0,1,0,0,0
82.3,39,0,0,0,1,0,0,1,1,0,0,-0,1,0,1,1,0,0,0,0,1959,0,0,3,0,4,2,0,1,0,0,1,1,0
87.6,12.2,1,0,0,0,0,0,1,0,0,0,-0,1,0,1,1,0,0,0,1,1999,0,0,3,0,1,2,1,1,0,0,4,1,0
91.2,24.9,1,0,0,0,0,0,1,1,0,1,-0,1,0,1,0,0,0,0,1,1979,0.004,0.001,2,1,1.5,1,0.5,1,0,0,2,0,0
91.1,43,1,0,0,0,0,1,0,0,0,0,-0,0,0,1,0,0,0,0,0,1979,0.024,0.069,2,0,0.75,1,1,1,0,0,4,0,0
95.3,33.8,0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,2009,0.41,0.069,2,1,1.4285714285714286,1,1,1,1,0,6,0,0
80.7,46,1,0,0,0,0,0,1,0,0,0,-0,0,0,1,1,0,0,0,0,1950,0.024,0.008,2,0,1.6666666666666667,1,0,1,0,0,2,0,0
84.5,0.4,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,1,1,0,1950,0,0,3,1,0.8571428571428571,2,0.5,1,0,0,4,0,0
92.6,18.1,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,1,0,0,0,1999,0.004,0.069,2,2,2,2,1,1,0,0,2,1,0
