bootstrap,input_features,variable,coef
43,All,DBT99,-0.07253852195778977
43,All,WHITE,-0.4644941191180029
43,All,BLACK,0.20745710806622908
43,All,SDESCENT,0.6464958647392862
43,All,OVER65,-0.07151010844263626
43,All,LIVESALONE,-0.14446045650478445
43,All,POVERTY,0.5358670891462151
43,All,EMPLOYHH,-0.23558489226720294
43,All,HIGHSCHOOL,0.08839703080440407
43,All,RENT,0.45042945751919433
43,All,APARTMENT,0.2331017266004657
43,All,MOBILE,0.16487647804853028
43,All,YEARMADERANGE,-0.003821261329902128
43,All,THERMALMASS.ROOF,0.43773184346768873
43,All,ADQINSUL,-0.26327633251576155
43,All,DRAFTY,1.0798385360070544
43,All,WWR,0.20883463241502317
43,All,TYPEGLASS,-0.07012499128793863
43,All,COOLTYPE,-0.2794551654881884
43,All,HVAC_OPERATION,2.0584516434248936
43,All,HVAC_MAINTENANCE,1.2875594590707884
43,All,NUMFANS,0.1946188445167682
43,All,OFFGRID,-0.045775174424999766
97,Baseline,(Intercept),-0.7957935931205089
97,Baseline,DBT1,0.23580242791903522
97,Baseline,DBT99,0.6554591575809431
97,Baseline,WHITE,-0.7257818054023104
97,Baseline,BLACK,0.24533674988533752
97,Baseline,SDESCENT,0.7834442285775515
97,Baseline,OVER65,-0.3886440416402173
97,Baseline,LIVESALONE,-0.24875286597653493
97,Baseline,HIGHSCHOOL,0.1797420182930233
97,Baseline,EMPLOYHH,-0.35738174388366095
97,Baseline,POVERTY,0.9262427581510735
97,Baseline,RENT,0.689868274309796
97,All,(Intercept),-1.5926522704593642
97,All,DBT1,0.217193202565214
97,All,DBT99,0.11441641854970269
97,All,WHITE,-0.5040915842594427
97,All,BLACK,0.1105981085255403
97,All,SDESCENT,0.5404779590232642
97,All,OVER65,-0.1815261952035937
97,All,LIVESALONE,-0.1373760677955494
97,All,POVERTY,0.5086246285861723
97,All,EMPLOYHH,-0.251572348763702
97,All,HIGHSCHOOL,0.12896520953275772
97,All,RENT,0.4143180932345355
97,All,APARTMENT,0.13021501994770449
97,All,MOBILE,0.08189289519997701
97,All,YEARMADERANGE,-0.06190850409559697
97,All,THERMALMASS.ROOF,0.343456443294833
97,All,ADQINSUL,-0.18005193772358982
97,All,DRAFTY,0.8755173180348573
97,All,WWR,0.3927789840980742
97,All,TYPEGLASS,-0.14053592492447625
97,All,COOLTYPE,-0.22586022079823984
97,All,HVAC_OPERATION,2.122698556956548
97,All,HVAC_MAINTENANCE,1.3297492512231852
97,All,NUMFANS,0.1056330676612733
97,All,OFFGRID,0.05181359721598689
25,Baseline,(Intercept),-0.6748551544502834
25,Baseline,DBT1,-0.04660205665278088
25,Baseline,DBT99,0.31127614137079834
25,Baseline,WHITE,-0.5757313180645163
25,Baseline,BLACK,0.33973792091671395
25,Baseline,SDESCENT,0.9312943608696372
25,Baseline,OVER65,-0.31181617115363675
25,Baseline,LIVESALONE,-0.24308213140127594
25,Baseline,HIGHSCHOOL,0.15470565545733414
25,Baseline,EMPLOYHH,-0.5190450947893384
25,Baseline,POVERTY,1.0339360545061682
25,Baseline,RENT,0.7897418378693828
25,All,(Intercept),-1.6128882653359347
25,All,DBT1,0.20994432962052367
25,All,DBT99,-0.5350823890037054
25,All,WHITE,-0.35709661215496963
25,All,BLACK,0.07952014593979481
25,All,SDESCENT,0.7061211139084481
25,All,OVER65,-0.11052873009572226
25,All,LIVESALONE,-0.07913957406922932
25,All,POVERTY,0.6746997017068496
25,All,EMPLOYHH,-0.36644528057637193
25,All,HIGHSCHOOL,0.11434263259003333
25,All,RENT,0.48734669336471426
25,All,APARTMENT,0.1668618699252366
25,All,MOBILE,0.18600146554305183
25,All,YEARMADERANGE,0.09261994090039109
25,All,THERMALMASS.ROOF,0.4375790237249594
25,All,ADQINSUL,-0.13771875217471266
25,All,DRAFTY,0.8736106902765924
25,All,WWR,0.6021249496316143
25,All,TYPEGLASS,-0.3262203219125318
25,All,COOLTYPE,-0.2874338087240324
25,All,HVAC_OPERATION,2.228097154875548
25,All,HVAC_MAINTENANCE,1.2446333028815444
